"Name ","Image_url","Ean","Brand  ","Category ","Price   ","Description"
"Maggi Masala 2-Minute Noodles India Snack","https://m.media-amazon.com/images/I/71Y7pDHbi8L._SX679_PIbundle-24,TopRight,0,0_AA679SH20_.jpg","NULL","Nestle","Grocery & Gourmet Food","12","Need a quick meal on the go? Reach for Maggi Masala Noodles! Maggi is spreading happiness with its instant, tasty, and healthy noodles. Bringing you a classic snack directly from India. 2-Minute Masala Noodles are perfectly convenient for the snacking occasion. Delicious Masala flavor brought to with convenience. Maggi Masala Noodles Contain: Wheat Flour, Edible Vegetable Oil, Salt, Mineral (Calcium Carbonate), Guar Gum. Masala Tastemaker : Hydrolyzed Groundnut Protein, Mixed Spices 23.6% (Onion Powder, Coriander, Chili Powder, Turmeric, Garlic Powder, Cumin, Aniseed, Fenugreek, Ginger, Black Pepper, Clove, Nutmeg, Cardamom), Noodle Powder (Wheat Flour, Edible Vegetable Oil, Salt, Wheat Gluten, Mineral (Calcium Carbonate), Guar Gum), Sugar, Edible Starch, Salt, Edible Vegetable Oil, Acidifying Agent (330), Mineral (Potassium Chloride), Color (150d), Flavor Enhancer (635), Raising Agent (500(ii))."
"Lay's Potato Chips American Style Cream and Onion","https://m.media-amazon.com/images/I/51zkGK8vV7L.jpg","NULL","Lay's","Grocery & Gourmet Foods","20","Star Combo - Lay's Potato Chips American Style Cream and Onion, 52g "
"Dettol Liquid Handwash Refill ","https://m.media-amazon.com/images/I/51U-62y-tQL._SX522_.jpg","NULL","Dettol"," Pantry","","Dettol Liquid Handwash Refill - Original Hand Wash- 1500ml | Germ Defence Formula | 10x Better Germ Protection"
"Saffola Masala Oats ","https://m.media-amazon.com/images/I/51zkIFST3PL._SX300_SY300_QL70_FMwebp_.jpg","NULL","Saffola","Healthy Snack","337","Saffola Masala Oats brings to you a range of delightful flavours making for a perfect evening snack. Made with wholegrain oats, real vegetables & a tasty mix of authentic desi spices, Saffola Masala Oats forms a delectable warm bowl of joy."
"Saffola Honey Active","https://m.media-amazon.com/images/I/71ilcNt46ML._SX679_.jpg","NULL","Saffola","Healthy Snack","283","Honey is a natural food and comes with multiple uses and benefits and should be used in its pure form. Pure Honey is also a healthy alternative to sugar and is considered one of the most wonderful gifts that nature has ever gifted to mankind. Honey for weight loss is also a common use of Honey for consumers, also honey is a natural source of energy, boosts immunity and contains antioxidants."
"Kellogg’s Muesli Fruit Nut & Seeds 750g","https://m.media-amazon.com/images/I/71BsckBgy3L._SX679_.jpg","NULL","Kelloggs","Healthy Snack","460","Nourishing & Tasty Breakfast Cereal – Say Hi to a delightful POWER BREAKFAST, filled with goodness of 12 – multigrain, fruit, nut & super seeds, all in 1. This muesli breakfast will help you kick-start your mornings. All in all, it is a nourishing and tasty meal that will get you ready to seize your action-packed day. India’s No.1* Muesli: Kellogg’s Muesli is India’s No. 1 Muesli brand (*refer pack/website for details). Power Breakfast for a Healthy Start: Made with 6 nutritious grains "
"Pringles Original | Potato Chips | Classic Salted 134g","https://m.media-amazon.com/images/I/71GvH9QK08L._SX679_.jpg","NULL","Pringles ","Snack Foods","114","PRINGLES POTATO CHIPS - Relish the classic, Pringles Original Chips, crispy snack, loved by everyone for its delicious taste and crispy texture. Pringles Original Potato Chips are delicious."
"Bikaji Bikaneri Bhujia 1 Kg","https://go-upc.s3.amazonaws.com/images/81790453.jpeg","8906005500090","Bikaji","General Office Supplies","100","Bikaji Bikaneri Bhujia 1 Kg unlimited sew"
"Haldiram's Nagpur Gulab Jamun 1 Kg","https://go-upc.s3.amazonaws.com/images/43752265.jpeg","8904004405910","Haldiram","Candy & Chocolate","150","Brand Haldiram Weight 1000 Grams Package Information Tin Package Weight 1.12 Kilograms Units 1000.0 gram This is a Vegetarian product. About this item Deliciously soft and tempting gulab jamuns that melt in the mouth Traditional Indian sweets for everyday celebrations."
"Hershey's Kisses Almonds Milk Chocolate 100.8G","https://go-upc.s3.amazonaws.com/images/41461805.jpeg","8901071701976","Hershey's","Candy & Chocolate","50","Crunchy Almond Bits In Milk Chocolate"
"Snickers Home Pack 100G","https://go-upc.s3.amazonaws.com/images/44884557.jpg","8906002481583","Snickers","Candy & Chocolate","50","No description found."
